"date","H1","ph1","H10","ph10"
1987-04-08,7239.45747015593,"1",8153.20304110692,"1"
1987-04-09,8119.8265154356,"1",9098.1601946742,"1"
1987-04-10,9187.80500907974,"1",10135.662145831,"1"
1987-04-13,10141.688277601,"1",9444.7566063551,"1"
1987-04-14,9353.76732030558,"1",9088.73119634069,"1"
1987-04-15,8982.60976874154,"1",9081.61903556106,"1"
1987-04-16,9033.57328855473,"1",8532.49515471286,"1"
1987-04-20,8656.98566688876,"1",7637.7011676279,"1"
1987-04-21,7543.73748294767,"1",7188.10018486135,"1"
1987-04-22,7024.45396100012,"1",7170.10026340523,"1"
1987-04-23,7320.90274818427,"1",7114.00737106998,"1"
1987-04-24,7261.89211525577,"1",6803.64236840219,"1"
1987-04-27,6656.59568986871,"1",6778.53099325503,"1"
1987-04-28,6723.98058067688,"1",5923.44781289802,"1"
1987-04-29,6010.21775840118,"1",5303.56953804485,"1"
1987-04-30,5309.69111011281,"1",4326.99457357784,"1"
1987-05-01,4164.30847179725,"1",4036.27115044029,"1"
1987-05-04,4068.36646819713,"1",4303.35481188835,"1"
1987-05-05,4387.32695353002,"1",4885.37941234129,"1"
1987-05-06,4861.88465181886,"1",5736.0002885077,"1"
1987-05-07,5717.8414383561,"1",5660.7065636311,"1"
1987-05-08,5725.05919681144,"1",6196.54969216061,"1"
1987-05-11,6074.06033915524,"1",6834.05967601296,"1"
1987-05-12,6748.62492531394,"1",7325.73201613087,"1"
1987-05-13,7404.45884152885,"1",8051.93724647151,"1"
1987-05-14,7982.05955053483,"1",8594.85449519763,"1"
1987-05-15,8565.39463380024,"1",9312.66829359225,"1"
1987-05-18,9374.10167633672,"1",9975.89978191969,"1"
1987-05-19,9953.42911713484,"1",9015.32014494334,"1"
1987-05-20,8875.67059389314,"1",7700.03922490327,"1"
1987-05-21,7561.59047172399,"1",6142.08365819556,"1"
1987-05-22,6041.06308735956,"1",5031.50398232059,"1"
1987-05-26,5143.66231626226,"1",4370.51908959174,"1"
1987-05-27,4355.11394455208,"1",3907.98594211175,"1"
1987-05-28,3753.24909466933,"1",3183.00615827293,"1"
1987-05-29,3240.55144342448,"1",3094.14747103471,"1"
1987-06-01,3146.74610960865,"1",2419.57086336761,"1"
1987-06-02,2318.69741662081,"1",1820.25005883922,"1"
1987-06-03,1838.75826598203,"1",1981.15212456767,"1"
1987-06-04,2029.66408165379,"1",2164.13591056183,"1"
1987-06-05,2151.46127426415,"1",2953.21382847755,"1"
1987-06-08,2988.78252842318,"1",3493.67376237969,"1"
1987-06-09,3500.67799628511,"1",3008.85654282323,"1"
1987-06-10,3000.64102118116,"1",2638.73990668659,"1"
1987-06-11,2699.32852822281,"1",2315.78327526998,"1"
1987-06-12,2431.88325232539,"1",1993.00522885462,"1"
1987-06-15,1954.71029134054,"1",1768.14765147305,"1"
1987-06-16,1721.55037811246,"1",1628.36364138311,"1"
1987-06-17,1679.25522649356,"1",1536.43795149039,"1"
1987-06-18,1627.81207166371,"1",1654.28781350343,"1"
1987-06-19,1560.01384563761,"1",2034.3976247034,"1"
1987-06-22,2067.47311612108,"1",2511.42502065372,"1"
1987-06-23,2667.02988739968,"1",3568.20428175445,"1"
1987-06-24,3567.74531890295,"1",3335.91812942157,"1"
